taille GFlop/s
50.000000 0.100000
62.000000 0.124000
77.000000 0.154000
96.000000 0.192000
120.000000 0.240000
150.000000 0.300000
187.000000 0.374000
233.000000 0.466000
291.000000 0.582000
363.000000 0.726000
453.000000 0.906000
566.000000 0.566000
707.000000 1.414000
883.000000 1.766000
1103.000000 1.103000
1378.000000 0.918667
1722.000000 1.148000
2152.000000 1.076000
2690.000000 1.076000
3362.000000 0.960571
4202.000000 1.050500
5252.000000 1.050400
6565.000000 1.094167
8206.000000 1.094133
10257.000000 1.079684
12821.000000 1.165545
16026.000000 1.187111
20032.000000 1.252000
25040.000000 1.252000
31300.000000 1.304167
39125.000000 1.397321
48906.000000 1.459881
61132.000000 1.587844
76415.000000 1.661196
95518.000000 1.661183
119397.000000 1.658292
149246.000000 1.667553
186557.000000 1.643674
233196.000000 1.659758
291495.000000 1.646864
364368.000000 1.615823
455460.000000 1.659235
569325.000000 1.640706
711656.000000 2.111739
889570.000000 1.963731
